features,accuracy,macro_f1
text only,0.687296775971342,0.5624134772679615
text + labels,0.8111325434003858,0.7145275999358137
text + labels + priority,0.8446955084045191,0.7922890772344008
everything except creation time,0.8404904932488287,0.7858037875649075
everything (incl. creation time),0.8751391567925049,0.8224673392276554
