feature,importance
created_year,0.2660430274617628
project_key_FOP,0.13035989940581766
priority_Unknown,0.10215275838407871
project_key_STR,0.06588551824144771
created_month,0.03695430673003944
project_key_STORM,0.034340002912024534
issue_type_New Feature,0.02784572913702317
created_dayofweek,0.02360144656728071
project_key_AMBARI,0.023547746492079503
project_key_SVN,0.01764185944769774
project_key_COUCHDB,0.015622027060066377
project_key_MECLIPSE,0.015211281421359973
issue_type_Bug,0.014183336607254588
issue_type_Improvement,0.00968003278332084
project_key_HBASE,0.009622137810041417
priority_Major,0.009541432977145757
project_key_ROL,0.00891402364730017
priority_Minor,0.008891570526037111
project_key_FINERACT,0.008472884280479369
project_key_XALANJ,0.0076756255156087885
project_key_MRELEASE,0.007329326266203885
project_key_COCOON,0.00607123527900623
issue_type_Task,0.0056978716965643
project_key_WW,0.0056906755622781035
issue_type_Wish,0.005209343253631787
project_key_CLEREZZA,0.004909483853825966
project_key_TOMEE,0.004866912324635465
project_key_HIVE,0.004646586104834268
project_key_XERCESC,0.004456942136536651
project_key_ACCUMULO,0.003806125498319229
issue_type_Sub-task,0.003725565307172528
priority_Blocker,0.0036639473170689742
project_key_SOLR,0.0035024971138728073
project_key_AXIS,0.003495423288128608
is_subtask,0.003386286296118794
project_key_VELOCITY,0.0033367852362979834
project_key_HARMONY,0.0033357867919006612
project_key_GSOC,0.0032754597590271472
project_key_MNG,0.0030177926480013406
priority_Critical,0.00300734362815395
priority_Trivial,0.002831289375518805
project_key_FLEX,0.002645238215081009
project_key_SANTUARIO,0.0023820895700145516
project_key_LOGCXX,0.002305446075270531
project_key_ASTERIXDB,0.002203198778557075
issue_type_Umbrella,0.002201884045752739
project_key_RAT,0.002140820124211231
project_key_CAMEL,0.0021118056458795946
issue_type_Brainstorming,0.002083030120390025
project_key_OAK,0.0020486875076073698
project_key_BLAZE,0.0020238337057535112
project_key_XMLBEANS,0.0016343610164722868
project_key_BATIK,0.0015695406329180588
project_key_SCM,0.001544462240430736
project_key_LOGGING,0.0015238009542725562
project_key_AMQ,0.0014996776034408212
project_key_APEXMALHAR,0.0014404905618007923
