feature,importance
created_year,0.29392950883151886
priority_Unknown,0.09657794376362093
project_key_AMBARI,0.07474738332696065
project_key_FLEX,0.04860248746307073
created_month,0.0428171334963975
project_key_STR,0.03201237418829014
issue_type_New Feature,0.031522736621105996
project_key_SVN,0.02610569620298553
created_dayofweek,0.025298110337322887
project_key_FOP,0.01760704646952904
priority_Major,0.016113082740544835
issue_type_Bug,0.015260089680005114
project_key_CAMEL,0.013624381068678873
priority_Minor,0.013448639405377338
project_key_XALANJ,0.013375709346208155
project_key_COCOON,0.013214561799089036
project_key_HARMONY,0.012416168333392777
priority_Blocker,0.012342602200773727
project_key_COUCHDB,0.008854889335956736
project_key_HIVE,0.008821353074022709
issue_type_Task,0.008663127424568717
issue_type_Improvement,0.00841371444115205
is_subtask,0.006611271604210564
project_key_XERCESC,0.006507836995030638
issue_type_Sub-task,0.006496776331782079
project_key_OAK,0.006273372562051769
priority_Critical,0.00614461153996689
project_key_ASTERIXDB,0.005607315580855964
project_key_AXIS,0.004883003297547321
priority_Trivial,0.004782977102016151
project_key_MNG,0.0044942889058651805
project_key_SMX4,0.004316622424295843
issue_type_Wish,0.004109138474355079
project_key_WICKET,0.003525224227582961
project_key_MRELEASE,0.0031581487042047812
project_key_MESOS,0.003087023245960495
project_key_CARBONDATA,0.0028268580121557736
project_key_CXF,0.002696295838997432
project_key_MECLIPSE,0.002674748282334333
project_key_BATIK,0.002565720569019273
project_key_BEEHIVE,0.0024450036660596326
project_key_CLOUDSTACK,0.0024359574594269625
project_key_APEXMALHAR,0.0023630867735163564
project_key_JCR,0.002238011708162761
project_key_XERCESJ,0.00217688174159873
project_key_FINERACT,0.0021190447649104467
project_key_VELOCITY,0.0018686520829804332
project_key_STORM,0.001854519702185667
project_key_MASSEMBLY,0.0018058176748219276
project_key_AXIS2,0.0017903429404475548
project_key_HDFS,0.0016776556375143927
project_key_SLING,0.0015914677217739096
project_key_PHOENIX,0.0015892780622340872
project_key_WW,0.0014021556114012079
project_key_ROL,0.0013729851966906282
project_key_GERONIMO,0.0013554356610760588
project_key_TRAFODION,0.0013507651601938147
project_key_GROOVY,0.001338799227111965
issue_type_Dependency upgrade,0.0012942449784928637
project_key_CONNECTORS,0.0012885240155656324
project_key_SM,0.0012338392239934501
project_key_XALANC,0.0012089009481345394
project_key_RANGER,0.0011567372446879922
project_key_TOMEE,0.001149118092905172
project_key_SOLR,0.001002235701298279
project_key_SPARK,0.000961130059880641
project_key_AMQ,0.0009495382370673522
project_key_JS1,0.0009152515523751489
project_key_SQOOP,0.0009122674089254351
project_key_HTTPCLIENT,0.000903771448474918
project_key_IMPALA,0.0008977075714629097
project_key_VCL,0.0008955559407262387
issue_type_Epic,0.000895092259410111
project_key_ZEPPELIN,0.0008592226275859747
project_key_TAP5,0.0008508000733842601
project_key_HBASE,0.0008320427635759694
project_key_SLIDER,0.0008236045298061737
project_key_TEZ,0.0008124768791115325
project_key_CB,0.0007801630984585194
project_key_TUSCANY,0.000779303328335335
project_key_OPENEJB,0.00077841676476754
project_key_SHINDIG,0.000773163949237109
project_key_SYNCOPE,0.0007339013842955524
project_key_JOSHUA,0.0007247013060415737
project_key_TAJO,0.0007142887829024433
project_key_KAFKA,0.0006603474748431133
project_key_PIG,0.0006348353390122283
project_key_RAVE,0.0006259721181715508
project_key_FALCON,0.000606028091010164
project_key_ACE,0.0005999420448511305
project_key_REEF,0.0005867593439423282
issue_type_Test,0.0005719777469379117
project_key_ACCUMULO,0.0005712332685933344
project_key_XW,0.0005711530207057997
project_key_NUTCH,0.0005477602235055811
project_key_SANTUARIO,0.0005059424481503318
project_key_LUCENE,0.000489571894560631
project_key_OFBIZ,0.00048748322024986753
project_key_KARAF,0.0004859266679330961
project_key_HADOOP,0.0004778536770860976
project_key_MYFACES,0.0004747587845626361
project_key_DIRKRB,0.0004711528687302663
project_key_YARN,0.0004636519669207155
project_key_TINKERPOP,0.0004531246095732376
project_key_MDEP,0.0004445096486280616
project_key_CAY,0.00039072347050858494
project_key_OOZIE,0.0003810429978502485
project_key_SCM,0.00037889320446217456
issue_type_Umbrella,0.000364235122689236
project_key_AXISCPP,0.0003641445630503145
project_key_IGNITE,0.0003629540331863176
project_key_GSOC,0.0003547104479871572
project_key_FELIX,0.0003051524795775619
project_key_LENS,0.00029685140211889764
project_key_TOREE,0.0002708751606581513
project_key_DERBY,0.0002685007702507354
project_key_FOR,0.0002670312271441909
project_key_PDFBOX,0.0002607796095866515
project_key_TRINIDAD,0.0002587529842040251
project_key_CRUNCH,0.00025705113641250694
project_key_BIGTOP,0.0002569418557620734
project_key_CONTINUUM,0.00025176660173923613
project_key_FLINK,0.00024397170150657857
project_key_ARCHETYPE,0.0002437043767992153
project_key_MUSE,0.00022673877027866416
project_key_TORQUEOLD,0.00020826866598725968
project_key_CHUKWA,0.00020629907074961324
project_key_OLINGO,0.00020403580918656455
issue_type_Documentation,0.00019492558001924838
project_key_METRON,0.00019250561717089356
project_key_RIVER,0.00018903350795660103
project_key_JAMES,0.00018756341976120582
issue_type_Suitable Name Search,0.00018002500563785853
project_key_UIMA,0.00017970533746848683
project_key_THRIFT,0.00017326690879609848
project_key_IBATIS,0.00015207861320440556
project_key_DIRMINA,0.00015164530607300635
project_key_PIVOT,0.00014795054265624125
project_key_TAPESTRY,0.00014765111997594167
project_key_FLUME,0.00014418731645993472
project_key_IVY,0.00014131919933908793
project_key_PODLINGNAMESEARCH,0.00014080319183827273
project_key_SHALE,0.00013861179334501313
project_key_WAGON,0.00013726738745794753
project_key_JS2,0.0001366364662186058
project_key_AXIS2C,0.0001355724369897481
issue_type_Brainstorming,0.00013516037201166803
project_key_XGC,0.0001311567496178009
project_key_NIFI,0.00012716248033557557
project_key_OPENMEETINGS,0.00012198181308297928
project_key_LIBCLOUD,0.0001209571940507128
project_key_WSS,0.00011751492840598985
issue_type_Technical task,0.00011524173779847888
project_key_AMQCPP,0.00011505849176250487
project_key_IBATISNET,0.00010897458692928355
project_key_ETCH,0.00010380342848471046
project_key_MSITE,0.00010177858187328275
project_key_QPID,0.00010147760436145353
project_key_QPIDJMS,0.00010087187045360038
project_key_JENA,9.770496547407048e-05
project_key_MNEMONIC,9.618377795189547e-05
project_key_CALCITE,9.423628104127201e-05
