model,accuracy,accuracy_std,macro_f1,balanced_accuracy
Logistic Regression,0.8751391567925049,0.005947111223338614,0.8224673392276554,0.817873556337332
Linear SVM (calibrated),0.8698815100578672,0.011257399475708807,0.8145253924936731,0.8111137339956571
Hist Gradient Boosting,0.8425571782860292,0.019154390338231297,0.7691830375463538,0.7538784311620519
Extra Trees,0.8321300633783411,0.014614127282156391,0.7261524030738598,0.7150131221200613
Random Forest,0.8258197850647561,0.011586681656671568,0.7063038512669367,0.6989354085119485
"MLP (64, 32)",0.7880297602645356,0.01188695528265146,0.6369793718425167,0.6442447358623092
Majority-class baseline,0.5739763020115735,0.0019265899569972439,0.2431103111022221,0.3333333333333333
