model,accuracy,accuracy_std,macro_f1,balanced_accuracy
Hist Gradient Boosting (tuned),0.8971507302287132,0.01620806418750739,0.8585171513887101,0.8636427407006406
Soft-voting ensemble (tuned),0.8940093689721686,0.011751437258625328,0.8510271429153292,0.851283561833097
Logistic Regression (tuned),0.8782860292091484,0.012937922260485358,0.8330874377066719,0.8384581887833409
Random Forest (tuned),0.8551887572333976,0.00793429835391753,0.7883813173148324,0.768772792789371
