,precision,recall,f1-score,support
Fast (<=30d),0.8,0.8813559322033898,0.8387096774193549,59.0
Medium (31-365d),0.6444444444444445,0.6744186046511628,0.6590909090909091,43.0
Slow (>365d),0.9844961240310077,0.927007299270073,0.9548872180451128,137.0
accuracy,0.8702928870292888,0.8702928870292888,0.8702928870292888,0.8702928870292888
macro avg,0.8096468561584841,0.8275939453748752,0.8175626015184588,239.0
weighted avg,0.8777702096374861,0.8702928870292888,0.8729888239783744,239.0
